MIN=0,0,0,0,0,0,0,0,0,0,0,0,0
MAX=5,100,63,63,63,63,40,63,40,40,63,10000,63
SCALE=1,50,10,10,10,10,10,10,10,10,10,5000,10
DEC=0,0,0,0,0,0,0,0,0,0,0,0,0
"DEF=""Energy"" E / s",Zählrate N_1,Zählrate N_4,Zählrate N_2,Zählrate N_5,Zählrate N_3,Zählrate N_6,Zählrate N_4,Zählrate N_7,Zählrate N_5,Zählrate N_8,Zählrate N_1,Zählrate N_2
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,2,0
3,0,0,0,0,0,0,0,0,0,0,4,0
4,0,0,0,0,0,0,0,0,0,0,57,0
5,2,1,1,0,0,1,1,0,2,0,221,1
6,9,2,2,5,7,3,4,2,3,3,463,5
7,7,5,13,3,1,5,2,4,3,6,586,12
8,13,4,9,4,3,5,0,8,1,8,654,8
9,13,3,7,3,4,5,6,5,8,2,635,7
10,13,8,5,2,6,3,5,4,8,6,715,8
11,10,6,5,3,8,6,3,7,3,3,726,11
12,9,3,5,7,8,2,7,6,4,8,688,7
13,15,10,6,13,2,6,8,5,6,4,718,12
14,14,6,11,10,9,9,5,2,8,9,710,7
15,17,7,8,4,5,6,4,6,4,4,788,7
16,17,2,9,5,10,3,8,6,2,4,836,6
17,16,8,9,7,6,5,8,6,4,7,850,10
18,16,1,6,5,6,7,6,2,10,6,853,16
19,13,6,8,11,6,11,7,6,2,6,925,12
20,19,7,11,5,16,10,9,5,12,6,896,9
21,8,12,14,5,7,4,8,5,7,5,1021,14
22,16,5,6,12,8,7,12,3,15,9,1190,15
23,20,11,11,11,14,3,8,4,11,10,1483,10
24,19,11,10,7,10,8,16,15,6,7,2166,12
25,20,11,16,12,8,8,8,6,11,11,2920,17
26,31,15,15,7,8,7,15,10,18,9,3746,18
27,32,8,17,9,10,10,10,9,14,6,4099,13
28,18,12,8,6,14,10,8,9,12,19,3769,13
29,21,8,14,9,14,10,13,8,15,9,3190,15
30,26,14,11,11,11,9,15,8,8,12,2582,14
31,23,15,18,12,9,11,14,11,8,11,2097,18
32,28,8,10,5,15,9,12,14,11,9,1792,9
