NAN	36	22	24	20	22	12	25	10	NAN	
NAN	28	26	24	21	23	20	33	21	NAN	
NAN	38	13	29	13	27	15	22	15	NAN	
NAN	37	19	16	22	27	26	25	20	NAN	
NAN	23	22	20	14	31	14	25	23	NAN	
NAN	28	20	30	19	36	17	23	14	NAN	
NAN	38	15	28	18	26	14	27	24	NAN	
NAN	39	20	25	21	22	18	24	27	NAN	
NAN	29	16	41	9	23	14	31	19	NAN	
NAN	35	18	20	12	22	15	29	23	NAN	
NAN	28	15	31	21	30	16	25	15	NAN	
NAN	36	23	21	14	28	21	31	20	NAN	
NAN	33	21	33	15	26	10	26	18	NAN	
NAN	33	19	26	14	21	16	23	18	NAN	
NAN	29	19	28	11	24	14	28	16	NAN	
NAN	32	25	22	9	34	19	23	21	NAN	
NAN	27	24	27	16	19	17	30	19	NAN	
NAN	39	17	25	19	18	7	23	17	NAN	
NAN	31	18	29	13	19	14	32	10	NAN	
NAN	38	21	28	15	23	15	32	12	NAN	
NAN	35	23	22	12	17	11	31	19	NAN	
NAN	31	20	23	13	21	23	25	19	NAN	
NAN	39	22	22	14	17	20	21	17	NAN	
NAN	29	18	17	21	17	13	30	21	NAN	
NAN	39	16	29	10	23	6	25	19	NAN	
NAN	33	28	18	11	17	9	27	16	NAN	
NAN	32	16	30	14	19	13	23	11	NAN	
NAN	26	18	19	11	31	11	19	17	NAN	
NAN	30	21	23	17	25	7	29	19	NAN	
NAN	31	16	17	13	16	15	37	9	NAN	
NAN	30	26	17	8	21	10	26	21	NAN	
NAN	31	25	21	8	19	15	31	17	NAN	
NAN	33	24	24	16	17	14	24	22	NAN	
NAN	35	21	39	12	24	15	26	13	NAN	
NAN	39	22	14	16	21	20	39	13	NAN	
NAN	29	18	33	9	23	9	23	15	NAN	
NAN	38	13	27	13	20	15	31	26	NAN	
NAN	26	23	21	9	17	11	18	16	NAN	
NAN	38	15	22	15	13	8	36	21	NAN	
NAN	37	16	18	14	21	24	27	20	NAN	
NAN	38	17	25	14	10	11	44	17	NAN	
NAN	34	15	24	6	22	11	48	21	NAN	
NAN	35	25	22	9	19	18	17	26	NAN	
NAN	35	11	23	10	18	5	31	23	NAN	
NAN	37	18	24	6	15	12	34	20	NAN	
NAN	24	16	19	10	25	16	33	23	NAN	
NAN	32	21	16	4	13	14	34	19	NAN	
NAN	36	22	15	13	22	10	35	19	NAN	
NAN	32	17	19	12	18	20	37	30	NAN	
NAN	23	16	13	8	18	12	33	21	NAN	
NAN	34	16	23	13	29	16	22	33	NAN	
NAN	39	13	23	18	13	13	31	24	NAN	
NAN	26	14	29	14	25	19	35	19	NAN	
NAN	36	15	24	9	13	11	33	15	NAN	
NAN	32	17	20	9	19	12	32	13	NAN	
NAN	31	16	15	13	19	9	41	20	NAN	
NAN	30	16	14	12	17	13	30	31	NAN	
NAN	24	11	29	5	26	14	31	21	NAN	
NAN	21	9	20	12	18	9	41	24	NAN	
NAN	28	17	19	13	19	18	46	13	NAN	
NAN	20	12	21	7	24	11	50	15	NAN	
NAN	32	14	18	7	18	7	40	23	NAN	
